title,heading,content,tokens
FIFA World Cup awards,Golden Glove,"The Golden Glove award is awarded to the best goalkeeper of the tournament. The award was introduced with the name ""Lev Yashin Award"" in 1994, in honor of the late Soviet goalkeeper. It was rechristened ""Golden Glove"" in 2010. The FIFA Technical Study Group recognises the top goalkeeper of the tournament based on the player's performance throughout the final competition. Although goalkeepers have this specific award for their position, they are still eligible for the Golden Ball as well, as when Oliver Kahn was awarded in 2002.",111
FIFA World Cup awards,FIFA Young Player Award,"The FIFA Young Player Award (""Best Young Player Award"" 2006–2010) was awarded for the first time at the 2006 World Cup in Germany and given to Germany's Lukas Podolski. The award is given to the best player in the tournament who is at most 21 years old.  For the 2022 World Cup, this meant that the player had to have been born on or after 1 January 2001.
In 2006, the election took place on FIFA's official World Cup website with the help of The FIFA Technical Study Group.FIFA organised a survey on the Internet for users to choose the ""Best Young Player"" of the World Cup, between 1958 and 2002, named the best young player of each tournament. With 61% of the overall vote, the winner was Pelé, who finished ahead of the Peruvian Teófilo Cubillas, the best young player at Mexico 1970, and England's Michael Owen, who reached similar heights at France 98.The winner of the award has only been part of the winning country three times. Pelé in 1958, Kylian Mbappé in 2018, and Enzo Fernández in 2022.",238
FIFA World Cup awards,FIFA Fair Play Trophy,"The FIFA Fair Play Trophy is given to the team with the best record of fair play during the World Cup final tournament since 1970. Only teams that qualified for the second round are considered. The winners of this award earn the FIFA Fair Play Trophy, a diploma, a fair play medal for each player and official, and $50,000 worth of football equipment to be used for youth development.The appearance of the award was originally a certificate. From 1982 to 1990, it was a golden trophy based on Sport Billy, a football-playing cartoon character from 1982 who became an icon for FIFA Fair play. Ever since 1994, it is simply a trophy with an elegant footballer figure. Peru was the first nation to win the award after receiving no yellow or red cards in the 1970 FIFA World Cup held in Mexico.",166
FIFA World Cup awards,Player of the Match,"The Player of the Match (POTM) award picks the outstanding player in every match of the tournament. The award was introduced with the name ""Man of the Match"" in 2002. It was rechristened ""Player of the Match"" in 2022.
While the inaugural two editions were chosen by the technical group, since 2010, Player of the Match is picked by an online poll on FIFA's website.
Total awardsAs of 18 December 2022

By countryAs of 18 December 2022",105
FIFA World Cup awards,Most Entertaining Team,"The Most Entertaining Team award is a subjectively awarded prize for the team that had done the most to entertain the public with a positive approach to the game, organised through public participation in a poll starting in 1994.",48
FIFA World Cup awards,Official winners,"The All-Star Team is a team of the best performers at the respective World Cup finals. Since 1994, FIFA decided to add official best squads, chosen by its Technical Study Group under the brand name MasterCard All-Star Team. For 1998, 2002 and 2006, substitute and reserve members were also nominated for full squads.",68
FIFA World Cup awards,Unofficial winners,"FIFA published the first All-Star Team in 1938, but it never made All-Star Team again until 1990 due to ensuing complaints. In January 1959, the host of 1958 tournament Swedish Federation published an All-Star Team based on 720 answers out of 1,200 experts. In 1990 there was an All-Star Team announced in combination with the Golden Ball ceremony. It was chosen by the same journalists who chose the best player, but this team is still considered unofficial.
After FIFA changed its sponsor from MasterCard to Visa in 2007, it published Team of the Tournament based on statistical data of other sponsors, which evaluates players' performances. FIFA explained these are not official.
Since 2010, the Fan Dream Team has been voted by online poll of FIFA website, but FIFA explained this is also not official team.",167
FIFA World Cup awards,Goal of the Tournament,"The Goal of the Tournament award was awarded for the first time at the 2006 FIFA World Cup.

Scores and results list the goal tally of the players' team first.",41
Taking the knee,Summary,"Taking the knee (or taking a knee) is a symbolic gesture against racism whereby an individual kneels upon one knee in place of standing to attention for an anthem or other such occasion. It was originated by American football player Colin Kaepernick on September 1, 2016, in protest against the lack of attention given to the issues of racial inequality and police brutality in the United States. Kaepernick's protest led to a wider series of national anthem protests. It has since been adopted by sports players in countries around the world, including association football in the United Kingdom, in solidarity with Kaepernick's protest against racism, and has been seen worldwide in non-sporting contexts such as the Black Lives Matter protests.",141
Taking the knee,U.S. national anthem kneeling protests,"The gesture originated in a 2016 American football game, during which Colin Kaepernick and his 49ers teammate Eric Reid chose to kneel during the playing of the US national anthem, to call attention to the issues of racial inequality and police brutality.""After hours of careful consideration, and even a visit from Nate Boyer, a retired Green Beret and former NFL player, we came to the conclusion that we should kneel, rather than sit, ... during the anthem, as a peaceful protest,"" said Reid. ""We chose to kneel because it's a respectful gesture.  I remember thinking our posture was like a flag flown at half-mast to mark a tragedy.""During the 2016 season, a small number of other players also took the knee before matches. Taking a knee became more frequent after then-President Trump criticized the gesture during a rally in September 2017, describing it as a disrespectful act against the United States national anthem and flag, and urging NFL team owners to sack ""son of a bitch"" players who performed it. In response, over a hundred NFL players took the knee in subsequent weeks, along with athletes from other sports, and spectators.",236
Taking the knee,Use in association football,"Taking the knee was used by many clubs before kick-off throughout the 2020–21 English association football season, which was booed by some fans.In a June 2020 radio interview, United Kingdom Foreign Secretary Dominic Raab said that he saw the gesture as ""a symbol of subjugation and subordination, rather than one of liberation and emancipation"", adding that he was unaware whether it had a broader history and that it seemed to him to be ""taken from the Game of Thrones"".In September 2020, Middlesbrough said they would stop taking the knee. In December 2020 players from Millwall and QPR said they would not take the knee, but would instead stand arm-in-arm. By February 2021 other teams had stopped taking the knee, including Brentford, while individual players from other teams such as Wilfried Zaha said they would also stop. Zaha later became the first Premier League player to stop taking the knee. Derby County stopped in March 2021.On June 8, 2021, prior to an international friendly game between Hungary and the Republic of Ireland, the Irish players were booed by some Hungarian fans prior to kick-off for taking the knee.

The England national team took the knee before matches in 2021's UEFA European Football Championship, resulting in booing from some fans. Conservative MP Lee Anderson stated that he would not watch England games in the tournament as a direct result of this political gesture, saying he believed that ""the vast majority of these fans booing last night are not racist"" and thought they were ""more likely to [...] not share the Marxist views of BLM"". Kick It Out's chief executive Tony Burnett considered the booing an example of racism in the sport. The English Football Association later asked fans to respect the players' wishes to take the knee. England players were booed by Poland fans for kneeling against racism ahead of 2022 FIFA World Cup qualifying match at National Stadium, Warsaw.In July 2021, Conservative MP Steve Baker said the Government should start backing players taking the knee, after Prime Minister Boris Johnson and Home Secretary Priti Patel had declined to condemn those who booed. Keir Starmer, Leader of the Opposition and leader of the Labour Party, said England's players were ""right to take the knee"".Ahead of the 2022–23 Premier League season, Premier League club captains agreed to their teams no longer taking the knee routinely before matches, instead restricting the gesture to ""significant moments"" of the season. Some captains felt that the gesture had lost its power, and hoped that restricting it would increase its impact. Captains affirmed their commitment towards fighting racism and other forms of discrimination. During the national anthem to start the 2022 FIFA World Cup game between England and Iran, England players took the knee as Iran’s players fell silent in reaction to events going on in their country.",575
Taking the knee,Similar gestures in history,"Josiah Wedgwood pottered the image of a black man kneeling in shackles and depicting slavery on the emblem of the British abolitionist movement during the 18th and 19th centuries—a movement to ban slavery and ill-treatment of people.In 1965, Martin Luther King Jr. knelt in prayer with a group of equalities marchers during the Selma to Montgomery marches.",85
