title,heading,content,tokens
United States 2022 FIFA World Cup bid,Bid committee,"The American bid was being organized by USA Bid Committee, Inc.
The executive director of the bid was David Downs, CEO of Univision sports. Other members include U.S. Soccer President Sunil Gulati, Major League Soccer Commissioner Don Garber, Phil Murphy, the former national finance chair for the Democratic National Committee, former U.S. Secretary of State Dr. Henry Kissinger, New York City mayor Michael Bloomberg, California Governor Arnold Schwarzenegger, Clinton adviser Douglas Band, film director Spike Lee, former boxer Oscar De La Hoya, and Washington Post.",116
United States 2022 FIFA World Cup bid,Details of the bid,"In April 2009, the U.S. identified 70 stadia in 50 communities as possible venues for the tournament, with 58 confirming their interest. The list of stadia was trimmed two months later to 38 existing venues, one scheduled for completion in 2010, and one proposed venue.  On August 20, 2009, the list was further trimmed down to 32 stadia in 27 cities. On January 12, 2010, the USA Bid Committee narrowed the 27 cities down to 18 as the official host cities for the United States' Bid for the 2018 or 2022 World Cup.Those 18 cities were: Atlanta, Baltimore, Boston, Dallas, Denver, Houston, Indianapolis, Kansas City, Los Angeles, Miami, Nashville, New York City, Philadelphia, Phoenix, San Diego, Seattle, Tampa and Washington, D.C. The 18 stadia selected host NFL or NCAA American football games, with a capacity over 65,000 spectators. No soccer-specific stadium was selected, since none in the country has capacity for more than 30,000 spectators.",213
United States 2022 FIFA World Cup bid,Candidate venues,"† – American football team.
Although sponsored stadium names are listed in this article, they were not used in the actual bid documents, and would not be used during the World Cup. FIFA controls all naming rights related to the World Cup, and generally prohibits the use of such names. Even stadiums that bear the names of FIFA sponsors are subject to this restriction—the venue then known commercially as Coca-Cola Park in Johannesburg was known by its non-commercial name of Ellis Park Stadium during the 2010 World Cup, even though The Coca-Cola Company is one of FIFA's main sponsors.
Capacities listed are estimated capacity for the FIFA World Cup.",135
United States 2022 FIFA World Cup bid,Denied interest in hosting,"Sanford Stadium, Athens, Georgia; 1996 Summer Olympics soccer venue
Jordan–Hare Stadium, Auburn, Alabama
Darrell K Royal – Texas Memorial Stadium, Austin, Texas
Tiger Stadium, Baton Rouge, Louisiana
Lane Stadium, Blacksburg, Virginia
Kyle Field, College Station, Texas
Spartan Stadium, East Lansing, Michigan
Memorial Stadium, Lincoln, Nebraska
LaVell Edwards Stadium, Provo, Utah
Notre Dame Stadium, South Bend, Indiana
Beaver Stadium, State College, Pennsylvania
Bryant–Denny Stadium, Tuscaloosa, Alabama",130
2022 FIFA World Cup qualification (CAF),Summary,"The African section of the 2022 FIFA World Cup qualification acted as qualifiers for the 2022 FIFA World Cup, to be held in Qatar, for national teams which are members of the Confederation of African Football (CAF). A total of five slots in the final tournament were available for CAF teams.",62
2022 FIFA World Cup qualification (CAF),Format,"A previous proposal to merge the qualification rounds for the 2021 Africa Cup of Nations with those for the World Cup was turned down after a CAF meeting on 11 June 2018.CAF reverted to the format used for the 2014 FIFA World Cup qualification competition.
First round: 28 teams (ranked 27–54) played home-and-away over two legs. The 14 winners advanced to the second round.
Second round: 40 teams (ranked 1–26 and 14 first round winners) were divided into ten groups of four teams to play home-and-away round-robin matches. The ten group winners advanced to the third round.
Third round: Ten second round group winners played home-and-away over two legs. The five winners qualified for the World Cup.",160
2022 FIFA World Cup qualification (CAF),Entrants,"All 54 FIFA-affiliated football associations from CAF entered qualification. The FIFA World Rankings of July 2019 were used to determine which nations would compete in the first round. For seeding in the second and third round draws, the most recent FIFA Rankings prior to those draws were used.
Libya was threatened with exclusion from the qualifiers if it failed to pay debts to their former coach Javier Clemente. However, Libya complied after FIFA gave them a new deadline. Sierra Leone also faced possible exclusion from the qualifiers due to the suspension of their football association. However, the suspension was lifted by the FIFA Council on 3 June 2019.",128
2022 FIFA World Cup qualification (CAF),Schedule,"Below is the schedule of the 2022 FIFA World Cup qualifying campaign, according to the FIFA International Match Calendar. After the rescheduling of the 2021 Africa Cup of Nations final tournament from June/July to January/February, the dates of the matchdays 1–2 of the second round were also rescheduled. Because of the interruption of the competition due to the COVID-19 pandemic, the schedule of the second and third round was revised again and on 19 August 2020 CAF announced the new dates for the aforementioned rounds.",110
2022 FIFA World Cup qualification (CAF),Third round,"The ten group winners from the second round were drawn into five home-and-away ties, with the teams seeded based on FIFA World Rankings. The draw was held on 22 January 2022 in Douala, Cameroon. The lower ranked team played the first leg at home. The winners of each fixture qualified for the 2022 FIFA World Cup.",70
2022 FIFA World Cup qualification (CAF),Top goalscorers,"There were 362 goals scored in 158 matches, for an average of 2.29 goals per match.

8 goals
5 goals
4 goals
Below are full goalscorer lists for each round:",46
Human rights issues involving the 2022 FIFA World Cup,Summary,"There have been criticisms of perceived human rights violations related to the organisation and hosting of the 2022 FIFA World Cup in Qatar. There have long been concerns for the state of human rights in Qatar, with the state accused of sportswashing in hosting the World Cup.A large concern in Qatar's hosting of the World Cup was the conditions of migrant workers brought in to build the required infrastructure, including indentured servitude and working conditions leading to deaths. The state of women's rights, and a British tourism executive hired to promote Qatar dying under suspicious circumstances have also been sources of controversy.
In a December 2021 interview with Al Jazeera, FIFA's secretary-general Fatma Samoura said that FIFA had developed a general framework to structure and guide the implementation of its human rights responsibilities and commitment, published in 2017, and that Qatar had implemented those recommendations.",174
Human rights issues involving the 2022 FIFA World Cup,Kafala system,"One of the most discussed issues of the Qatar World Cup was the treatment of workers hired to build the infrastructure. Most Qatari nationals avoid doing manual work or low-skilled jobs. They are given preference in the workplace. In May 2014, Qatar announced plans to abolish the kafala system, but implementation was delayed until 2016, and even if the promised reforms are implemented, employers would still have considerable power over workers (for example, a proposed requirement that wages must be paid into a designated bank account would not cover labourers paid in cash).Human Rights Watch and the International Trade Union Confederation (ITUC) state that the kafala system leaves migrants vulnerable to systematic abuse. Workers could not change jobs or even leave the country without their sponsor's permission. In November 2013, Amnesty International reported ""serious exploitation"", including workers having to sign false statements that they had received their wages in order to regain their passports. An investigation by The Guardian in the same year claimed had their identity papers taken away from them, were compelled to perform forced labor, and that they were not paid on time or at all, making some of them effectively slaves. The Guardian also reported that companies refused to pay salaries and administer necessary worker ID permits, rendering the workers illegal aliens and forcing them to stay. The report stated that there was evidence to suggest that workers face exploitation and abuse as defined by the International Labour Organization (ILO).By 2015, Michael van Praag, president of the Royal Dutch Football Association, requested the FIFA Executive Committee to pressure Qatar over the allegations to ensure better workers' conditions. He also stated that a new vote on the attribution of the World Cup to Qatar would have to take place if the corruption allegations were to be proved. In March 2016, Amnesty International accused Qatar of using forced labour, forcing the employees to live in poor conditions, and withholding their wages and passports. It also accused FIFA of failing to act against the human rights abuses. Migrant workers told Amnesty about verbal abuse and threats they received after complaining about not being paid for up to several months. Nepali workers were denied leave to visit their family after the 2015 Nepal earthquake.In August 2022, Qatari authorities arrested and deported over 60 migrant workers who protested about non-payment of wages by their employer, Al Bandary International Group, a major construction and hospitality firm. Some of the demonstrators, from Nepal, Bangladesh, India, Egypt and the Philippines, had not been paid for seven months. London-based labour rights body Equidem said most were sent home. Qatar's labour ministry said it was paying Al Bandary workers and taking further action against the company - already under investigation for failing to pay wages.In September 2022, Amnesty published the results of a poll of over 17,000 football fans from 15 countries which showed 73% supported FIFA compensating migrant workers in Qatar for human rights violations. FIFA responded with a statement noting progress on Qatar's migrant worker policies, adding ""FIFA will continue its efforts to enable remediation for workers who may have been adversely impacted in relation to FIFA World Cup-related work in accordance with its Human Rights Policy and responsibilities under relevant international standards.""On 24 November 2022, during the tournament, the European Parliament adopted a resolution requesting FIFA to help compensate the families of migrant workers who died in Qatar, and for Qatar conduct a full human rights investigation. Before the tournament was over, several individuals involved in the European Parliament had been arrested on charges of colluding in organised crime with Qatar, including aiming to improve Qatar's human rights reputation ahead of the World Cup.",716
Human rights issues involving the 2022 FIFA World Cup,Labour reforms,"In October 2017, the ITUC said that Qatar had signed an agreement to improve the situation of more than two million migrant workers in the country. According to the ITUC, the agreement provided for substantial reforms in the labour system, including ending the kafala system, and would positively affect the general situation of workers, especially those working on 2022 FIFA World Cup infrastructure projects. The workers would no longer need their employer's permission to leave the country or change their jobs. Amnesty International have questioned whether Qatar would complete the promised labour reforms before the start of the World Cup, a sentiment that FIFA backed. Amnesty International found that abuses were still occurring despite the nation taking some steps to improve labour rights. Law No. 13 of 2018 abolished exit visas for about 95 per cent of migrant workers. On 30 April 2018, the ILO opened its first project office in Qatar to monitor and support the implementation of the new labour laws. In February 2019, Amnesty International said Qatar was falling short on promised labour reforms before the start of the World Cup, a sentiment that FIFA backed. Amnesty also found that abuses were still occurring. In May 2019, an investigation by the UK's Daily Mirror newspaper discovered that some of the 28,000 workers on the stadiums were being paid 750 Qatari riyals per month, equivalent to £190 per month or 99 pence an hour for a typical 48-hour week. In October 2019, the ILO said that Qatar had taken steps towards upholding the rights of migrant workers.In April 2020, the government of Qatar provided $824 million to pay the wages of migrant workers in quarantine or undergoing treatment for COVID-19. In August 2020, the Qatari government announced a monthly minimum wage for all workers of 1,000 riyals (US$275), an increase from the previous temporary minimum wage of 750 riyals a month. The new laws went into effect in March 2021. The ILO said ""Qatar is the first country in the region to introduce a non-discriminatory minimum wage, which is a part of a series of historical reforms of the country's labour laws,"" but the campaign group Migrant Rights said the new minimum wage was too low to meet migrant workers' need with Qatar's high cost of living. In addition, employers are obligated to pay 300 riyals for food and 500 riyals for accommodation, if they do not provide employees with these directly. The No Objection Certificate was removed so that employees can change jobs without consent of the current employer. A Minimum Wage Committee was also formed to check on the implementation. These reforms removed the kafala system and a contractual system was introduced – the European Union's Annual Report on Human Rights and Democracy in the World 2021 noted Qatar's labour law reforms had incorporated non-discriminatory minimum wage systems and removal of the Kafala system in 2021.At the March 2022 FIFA Congress in Doha, Lise Klaveness—head of the Norwegian Football Federation—criticised the organisation for having awarded the World Cup to Qatar, citing the various controversies surrounding the tournament. She argued that ""in 2010 World Cups were awarded by FIFA in unacceptable ways with unacceptable consequences. Human rights, equality, democracy: the core interests of football were not in the starting XI until many years later. These basic rights were pressured onto the field as substitutes by outside voices. FIFA has addressed these issues but there's still a long way to go."" Hassan al-Thawadi, secretary general of Qatar 2022, criticised her remarks for ignoring the country's recent labour reforms. In May 2022, Amnesty accused FIFA of looking the other way while thousands of migrants worked in conditions ""amounting to forced labor"", arguing that FIFA should have required labour protections as a condition of hosting. Apart from all the condemns, in an article on August 11, 2022 published by the LA Times, it was revealed that Qatar used the focus of the month-long tournament for bringing more progress to its migrant sector. “Human Rights Watch acknowledges and applauds the reforms the Supreme Committee has put in place,” said Minky Worden, the New York-based advocacy group’s director of global initiatives. Also, in a report published by ILO in November 2022, it was revealed that a new dedicated department for Occupational Health and Safety within Qatar’s Ministry of Labour is being created and it will focus on prevention of accidents at work and compliance of laws to protect workers along with overall betterment of the whole sector.Shortly before the tournament began, France 24 broadcast a report titled ""The plight of migrant workers in Qatar"", adding more details to the controversy and how many reform laws have not been followed.",948
Human rights issues involving the 2022 FIFA World Cup,Conditions of migrant workers,"The issue of migrant workers' rights attracted greater attention once the World Cup was awarded to Qatar, with the 2013 investigation by The Guardian claiming that many workers were denied food and water.After visiting a labour camp in 2012, Sharan Burrows of the ITUC stated that ""If two years on [since the award of the 2022 World Cup] the [Qatari] Government has not done the fundamentals, they have no commitment to human rights"". The Qatar 2022 Committee said: ""Our commitment is to change working conditions in order to ensure a lasting legacy of improved worker welfare. We are aware this cannot be done overnight. But the 2022 FIFA World Cup is acting as a catalyst for improvements in this regard."" A video shown to labour rights groups in 2013 showed men living in dilapidated labour camps under unsanitary conditions.In November 2017, the ILO started a three-year technical cooperation programme with Qatar to improve working conditions and labour rights. Qatar introduced new labour laws to protect migrant workers’ rights: Law No. 15 of 2017 introduced clauses on maximum working hours and constitutional rights to annual leave.",227
Human rights issues involving the 2022 FIFA World Cup,Deaths of migrant workers,"The Guardian estimated that, by the time the competition would be held, without reforms of the kafala system, out of the 2 million-strong migrant workforce up to 4,000 workers could die due to lax safety and other causes. These claims were based upon the fact that 522 Nepalese workers and over 700 Indian workers had died since 2010, when Qatar's bid as World Cup's host had been won, about 250 Indian workers dying each year. The Indian government said the number of deaths could be considered quite normal based on the figure of half a million Indians working in Qatar.The Wall Street Journal reported in June 2015 the ITUC's claim that over 1,200 workers had died while working on infrastructure and real-estate projects related to the World Cup, and the Qatar Government's counter-claim that none had. The BBC later reported that this often-cited figure of 1,200 workers having died in World Cup construction in Qatar between 2011 and 2013 is not correct, and that the 1,200 number is instead representing deaths from all Indians and Nepalese working in Qatar, not just of those workers involved in the preparation for the World Cup, and not just of construction workers.In 2019, the Planning and Statistics Authority of the State of Qatar reported that 15,021 non-Qataris had died between 2010 and 2019 in its Vital Statistics Annual Bulletin - Births & Deaths 2019.In February 2021, another investigative report published by The Guardian used data from embassies and national foreign employment offices to estimate a death toll of 6,500 migrant workers since the World Cup was awarded to Qatar. The figures used by The Guardian did not include occupation or place of work so deaths could not be definitively associated with the World Cup construction programme, but ""a very significant proportion of the migrant workers who have died since 2011 were only in the country because Qatar won the right to host the World Cup.""In a September 2021 report, Amnesty criticised Qatar for failing to investigate migrant workers' deaths.",406
Human rights issues involving the 2022 FIFA World Cup,Interactions with foreign companies,"In 2015, a crew of four journalists from the BBC were arrested and held for two days after they attempted to report on the condition of workers in the country. The reporters had been invited to visit the country as guests of the Government of Qatar. At the start of the tournament, the BBC refused to broadcast Qatar's 2022 FIFA World Cup opening ceremony, instead showing a panel discussion led by host Gary Lineker delivering a critique of Qatar's records on LGBT rights and treatment of migrant workers. Jim Waterson of The Guardian commented that the Qatari authorities ""probably hoped [the opening ceremony] would be the moment when the global media finally focused on football rather than human rights"".In March 2021, Hendriks Graszoden, the turf supplier for the 2006 World Cup and for the European Championships in 2008 and 2016, refused to supply Qatar with World Cup turf. According to company spokesperson Gerdien Vloet, one reason for this decision was the accusations of human rights abuses.On September 28, 2022, Danish sportswear company Hummel unveiled Denmark's ""toned down"" kits for the tournament in protest of Qatar's human rights record. One of these kits includes a black alternate kit that represents ""the color of mourning"", which references the dispute between Hummel and World Cup organisers in Qatar in which Hummel claimed that thousands of migrant workers died during the construction of the venues. Hummel said in their statement on their official Instagram:

With the Danish national team's new jerseys, we wanted to send a dual message. They are not only inspired by Euro 92, paying tribute to Denmark's greatest football success, but also a protest against Qatar and its human rights record. That's why we've toned down all the details for Denmark's new World Cup jerseys, including our logo and iconic chevrons. We don't wish to be visible during a tournament that has cost thousands of people their lives. We support the Danish national team all the way, but that isn't the same as supporting Qatar as a host nation. We believe that sport should bring people together. And when it doesn't, we want to make a statement.Singer Dua Lipa denied speculations that she would be performing in Qatar, stating in her Instagram Stories post that she looked ""forward to visiting Qatar when it has fulfilled all the human rights pledges it made when it won the right to host the World Cup."" Rod Stewart, meanwhile, claimed he had refused over $1 million to perform at the tournament.",509
Human rights issues involving the 2022 FIFA World Cup,Defenses of Qatar and FIFA,"In March 2022, FIFA president Gianni Infantino claimed in an interview that the Gulf nation is being progressive in terms of the labour rights and migrant rights issues that prevailed previously, adding ""I am pleased to see the strong commitment from the Qatari authorities to ensure the reforms are fully implemented across the labour market, leaving a lasting legacy of the FIFA World Cup long after the event, and benefiting migrant workers in the host country in the long term.""In a news conference preceding the tournament on 19 November 2022, Infantino defended criticism of Qatar from the West as hypocritical, stating that ""I think for what we Europeans have been doing for 3,000 years around the world, we should be apologising for the next 3,000 years before starting to give moral lessons to people."" He asked, ""how many of these European companies who earn millions and millions from Qatar or other countries in the region—billions every year—how many of them have addressed migrant worker rights? I have the answer: none of them, because if they change the legislation it means less profits. But we did. And FIFA generated much, much, much less than any of these companies, from Qatar.""Amid popular criticism, political commentary magazine The Economist also provided a defence for FIFA's choice, stating that Qatar was ""a more suitable country to host a big sporting event"" than both China and Russia, who hosted the 2022 Winter Olympics and the 2018 World Cup respectively, and who both have arguably worse human rights records. Moreover, it added that ""Western criticism"" failed to ""distinguish between truly repugnant regimes and merely flawed ones"", and that many ""indignant pundits"" simply sounded as if they did ""not like Muslims or rich people"".",355
Human rights issues involving the 2022 FIFA World Cup,Death of Marc Bennett,"Marc Bennett was a British travel advisor who died under mysterious circumstances in Doha. Bennett was employed by the Qatar Airways company Discover Qatar to promote the image of Qatar following the nation's selection as the host of the World Cup. After leaving the job and showing interest in a rival Saudi company, Bennett was arrested and tortured. He was found hanged in his hotel room on 25 December 2019. Following his death, Qatar Airways reported that he was arrested for stealing company secrets. The Qatari authorities said that he killed himself, Qatar Airways said this was unrelated to his work because he was a popular and valued former employee. Bennett's family dispute both stories; a British coroner did not record the death as suicide.",145
Human rights issues involving the 2022 FIFA World Cup,Women's rights,"Discrimination against women was also criticized. Women in Qatar must obtain permission from their male guardians to marry, study abroad on government scholarships, work in many government jobs, travel abroad, receive certain forms of reproductive health care, and act as the primary guardian of children, even if they are divorced.In February 2022, a Mexican employee of the World Cup Organizing Committee working as an economist was accused of allegedly having sex outside of marriage. The woman had previously reported rape. However, the male claimed to have been in a relationship with her, after which the woman was investigated for extramarital sex. Women in Qatar face the possible penalty of flagellation and a seven-year prison sentence if convicted for having sex outside of marriage. The criminal case against the Organizing Committee employee was dropped months after she was allowed to leave Qatar. Human Rights Watch welcomed the decision to close the case.",183
2022 FIFA World Cup Group A,Summary,"Group A of the 2022 FIFA World Cup took place from 20 to 29 November 2022. The group consisted of host nation Qatar, Ecuador, Senegal and the Netherlands. The top two teams, the Netherlands and Senegal, advanced to the round of 16. Qatar became the first host nation to lose every group game in the World Cup history, becoming the worst performing host.",76
2022 FIFA World Cup Group A,Standings,"In the round of 16:

The winners of Group A, the Netherlands, advanced to play the runners-up of Group B, the United States.
The runners-up of Group A, Senegal, advanced to play the winners of Group B, England.",57
2022 FIFA World Cup Group A,Matches,"All times listed are local, AST (UTC+3).The match between Senegal and the Netherlands was originally scheduled to be the opening match of the tournament on 21 November 2022, 13:00, while the match between Qatar and Ecuador would take place later that day at 19:00. However, FIFA adjusted the match schedule on 11 August 2022, moving the Qatar–Ecuador fixture to 20 November in order for the hosts to feature in the opening match of the tournament. As a result, Senegal–Netherlands fixture was pushed back to 19:00 on 21 November.",118
2022 FIFA World Cup Group A,Qatar vs Ecuador,"The two teams had faced each other three times, most recently in 2018, a 4–3 win for Qatar in a friendly game. This was their first competitive meeting.
Ecuador had a disallowed goal in the opening minutes, but eventually won 2–0 with a brace by Enner Valencia in the first match of the tournament. Valencia opened the scoring in the 16th minute with a penalty, shooting low to the right corner after being brought down in the penalty area by Qatar goalkeeper Saad Al-Sheeb. He scored his second in the 31st minute with a downward header to the left corner of the net after a cross in from the right by Ángelo Preciado. This is the third consecutive FIFA World Cup in which a player scored a brace in the opening match, after Brazil's Neymar in 2014 and Russia's Denis Cheryshev in 2018. This was also the first time a penalty kick had been scored as the opening goal of a FIFA World Cup. Qatar became the 14th debutant to lose their opening fixture; additionally, they became the first host nation to lose their opening match at a World Cup.",236
2022 FIFA World Cup Group A,Senegal vs Netherlands,"The teams had never met before.
After a goalless first half, Cody Gakpo put the Netherlands ahead in the 84th minute when he got to the ball first to head past the advancing goalkeeper Édouard Mendy and into the empty net after a cross from Frenkie de Jong. In stoppage time, Davy Klaassen made it 2–0 when he followed up on Memphis Depay's saved shot to slot into the net.",99
2022 FIFA World Cup Group A,Qatar vs Senegal,"The two teams had never met before.
Boulaye Dia put Senegal in front in the 41st minute with a low finish to the left corner of the net after a mistake by Qatar defender Boualem Khoukhi. Seven minutes later it was 2-0 when Famara Diédhiou scored with a header from a corner from the right by Ismail Jakobs.
Mohammed Muntari pulled a goal back for Qater in the 78th minute when he scored with a header to the left corner after a cross from Ismaeel Mohammad on the right. Bamba Dieng scored a third for Senegal in the 84th minute with a deflected shot to the net after a pass from Iliman Ndiaye on the right.Following the Netherlands' 1–1 draw with Ecuador played after this match, Qatar became the first host country to be eliminated from the group stage of the FIFA World Cup after just two games, and the second overall, after South Africa, to fail to progress to the knockout round. This loss also confirmed Qatar as the worst hosts by performance, as they could secure no more than three points, one short of South Africa's four.",245
2022 FIFA World Cup Group A,Netherlands vs Ecuador,"The two teams had faced each other twice, most recently in 2014, a 1–1 draw in a friendly game. In the 6th minute Cody Gakpo cut inside and shot left-footed to the left corner of the net from just outside the penalty area to put the Netherlands in front. Four minutes into the second half Enner Valencia scored his third goal of the tournament to make it 1-1 when he followed up the rebound after Andries Noppert had saved a shot from Pervis Estupiñán.",112
2022 FIFA World Cup Group A,Ecuador vs Senegal,"The two teams had faced each other twice, most recently in 2005, a 2–1 win for Senegal in a friendly.
In the 44th minute, Ismaïla Sarr was fouled in the penalty area by Piero Hincapié with Sarr scoring the resulting penalty low to the right corner. In the 67th minute Moisés Caicedo made it 1-1 when he finished the ball low to the net from close range after it reached him from a corner on the right from Félix Torres.
With twenty minutes to go Kalidou Koulibaly put Senegal back in front with a right-foot volley from six yards out after the ball came to him after a free-kick from the right. It was his first ever goal for Senegal.Ecuador's loss led to being eliminated from the Group Stage for a second time, the first being in 2014.",189
2022 FIFA World Cup Group A,Netherlands vs Qatar,"The two teams had never met before.
In the 26th minute Cody Gakpo scored his third goal of the tournament to put the Netherlands in front when he cut in from the left to score with a right-foot finish to the bottom right corner of the net from just inside the penalty area. Frenkie de Jong made it 2-0 four minutes into the second half when he followed up to poke into the net from close range after Meshaal Barsham had saved a shot from Memphis Depay.
In losing to the Netherlands, Qatar are the first World Cup hosts in history to suffer three defeats and failed to earn a single point.",135
2022 FIFA World Cup Group A,Discipline,"Fair play points would have been used as tiebreakers if the overall and head-to-head records of teams were tied. These were calculated based on yellow and red cards received in all group matches as follows:
first yellow card: −1 point;
indirect red card (second yellow card): −3 points;
direct red card: −4 points;
yellow card and direct red card: −5 points;Only one of the above deductions were applied to a player in a single match.",105
FIFA World Cup Qatar 2022 Official Soundtrack,Summary,FIFA World Cup Qatar 2022 Official Soundtrack is a compilation album with various artists released in 2022. This album is the official music album of the  2022 FIFA World Cup held in Qatar.,42
FIFA World Cup Qatar 2022 Official Soundtrack,History,"For the first time, a multi-song FIFA World Cup official soundtrack has been released, instead of one official song. The first song of the album is ""Hayya Hayya (Better Together)"", performed by Trinidad Cardona, Davido and AISHA, released on 1 April 2022 along with the music video. The second song is ""Arhbo"", performed by Gims and Ozuna, released on 19 August 2022 along with the music video.The third song is ""The World Is Yours to Take"" performed by American rapper Lil Baby, teamed up with Budweiser, released on 23 September 2022 along with the music video.The fourth song is ""Light The Sky"" performed by Nora Fatehi, Manal, Rahma Riad and Balqees, composed by RedOne and released on 7 October 2022 along with the music video.A fifth song, ""Tukoh Taka"", performed by Nicki Minaj, Maluma and Myriam Fares, was released on 17 November 2022 along with the music video, serving as the official song of the FIFA Fan Festival. The final song is ""Dreamers"" by Jungkook of BTS released on 20 November 2022. It was performed with Fahad Al-Kubaisi during the tournament's opening ceremony.",266
LGBT issues at the 2022 FIFA World Cup,Summary,"There are no LGBT rights in Qatar, with homosexuality as well as campaigning for LGBT rights criminalised. As such, when Qatar was selected to host the 2022 FIFA World Cup, the choice to do so in a restrictive nation saw much criticism, with several topics becoming the subject of controversy.",61
LGBT issues at the 2022 FIFA World Cup,Public displays of affection,"As early as 2010, concerns have been raised about the rights of members of the LGBT community who attend the tournament, since homosexuality is illegal in Qatar. After Qatar was chosen as host, Sepp Blatter, the then-president of FIFA, was criticised for apparently jokingly telling a reporter inquiring about these concerns that gay attendees ""should refrain from any sexual activities"". In apology for the statement, Blatter assured that FIFA did not tolerate discrimination, and stated that ""[FIFA] don't want any discrimination. What we want to do is open this game to everybody, and to open it to all cultures, and this is what we are doing in 2022.""The Human Rights Watch reported that Qatar has arbitrarily arrested LGBT people and subjected them to ill-treatment in detention. The Gay Times reported that while Muslims can be sentenced to death for homosexuality under Sharia law, there have been no known cases of the death penalty being enforced for homosexuality in Qatar.In 2013, Hassan al-Thawadi stated that everyone would be welcome at Qatar 2022, but warned against public displays of affection because they were ""not part of our culture and tradition"". The Qatar organising committee seemed to retract this in September 2022, when Football Association (the FA; England's federation) chief executive Mark Bullingham said there had been assurances that LGBT couples would not face arrest while holding hands or kissing in public in Qatar. However, shortly before the tournament commenced, former Qatar international player and World Cup ambassador Khalid Salman described homosexuality as a ""damage in the mind"" in an interview with German broadcaster ZDF, which led to further criticism, including from the German government. The interview was cut short following the comments; Salman later said that his comments had been misrepresented by news agencies.",356
LGBT issues at the 2022 FIFA World Cup,Rumours of homosexuality medical test,"After rumours and allegations that Qatar would introduce ""medical screening tests"" to ""detect"" and ban homosexuals from entering the country, LGBT rights activist Peter Tatchell said that ""FIFA now has no option but to cancel the World Cup in Qatar"". However, no such screening test exists. It was later revealed that this proposal came from Kuwait and, while involving other nearby nations, did not involve Qatar.",87
LGBT issues at the 2022 FIFA World Cup,FIFA defence and legacy in football,"In a news conference on the day before the opening match, confronting renewed criticisms that LGBT+ fans felt unsafe, FIFA president Gianni Infantino continued to defend that ""everyone who comes to Qatar is welcome, whatever religion, race, sexual orientation, belief she or he has, everyone is welcome. This was our requirement and the Qatari state sticks to that requirement"", and argued that anti-LGBT laws ""exist in many countries in the world"", and ""existed in Switzerland [where FIFA is based and Infantino was raised] when they organised the World Cup in 1954.""The BBC published a report based on interviews with LGBT+ fans from Qatar and from Western nations in December 2022. It looked at the effect that the attitude of the organising committee and FIFA (particularly Infantino) towards LGBT+ rights in preparation for and during the World Cup had on fans' feelings and views of football culture and homosexuality in football. Many fans reflected that they had previously felt that the footballing world was at or approaching a positive and supportive place in terms of accepting LGBT+ fans and players. The British attitude noted in the BBC report was that fans considered LGBT+ people being treated equally to be an uncontroversial matter of fact, and a fundamental human right, with fans having become used to seeing overt support from the footballing world. By instead seeing FIFA allow LGBT+ rights to revert to a debate, and one based on culture rather than human rights, during the World Cup, these fans were shocked; the BBC also noted that there was shock at Infantino repeatedly saying that people who wanted FIFA to condemn Qatar's stance on LGBT+ rights were only trying to stir a culture war.It concluded that the legacy of the Qatar World Cup would be to set back LGBT+ acceptance in football, discouraging LGBT+ fans from feeling that they have a place. The attitude of FIFA, suggesting that it will not support LGBT+ rights as ""divisive"", was said by the report to make football seem more hostile to LGBT+ players; it quoted Finnish women's footballer Linda Sällström ironically asking what FIFA would do to the numerous openly gay female players set to compete at the 2023 FIFA Women's World Cup if an armband with implicit awareness of homosexuality had been enough to warrant punishment in 2022.",470
LGBT issues at the 2022 FIFA World Cup,Promotion of LGBT rights in Qatar,"In January 2022, openly gay Australian footballer Josh Cavallo suggested he would support the World Cup happening in Qatar if it could cause laws to be changed, describing this possibility as ""a fantastic opportunity"" for the nation, having previously expressed fear of travelling to the nation before the organising committee told him he would be welcome.In October 2022, Human Rights Watch called on FIFA to press Qatar to launch reforms that protected LGBT people after a Qatari official denied that there were cases of LGBT people beaten in jail. Qatari officials also rejected allegations that there were conversion therapy centers in Qatar.The openly queer BBC Sport television pundit Alex Scott reported throughout the World Cup in Qatar, saying ahead of the opening match that there were people who had suggested she stay at home, but she had instead wanted to use the platform of being at the World Cup to highlight and address the issues, which she did on several occasions.",187
LGBT issues at the 2022 FIFA World Cup,Joe Lycett stunt,"On 13 November 2022, a week before the tournament was due to kick off, British comedian Joe Lycett released a video criticising David Beckham for his lucrative sponsorship deal promoting the World Cup, due to the country's stance on LGBT rights. In the video, Lycett promised to give £10,000 to charities that support queer people in football if Beckham pulled out of the deal. If Beckham did not pull out of the deal, he said he would shred the money during a livestream on 20 November, just before the opening ceremony. After the deadline passed with no response from Beckham or his representatives, Lycett broadcast such a livestream; it was later revealed that this was a ruse, with Lycett saying that he had donated the money to charity, having had no intention from the start of destroying money.",172
